구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
개방화장실,대한건축사협회,서울특별시 서초구 효령로 317,서울특별시 서초구 서초1동 1603-55,N,3,4,0,0,0,0,3,0,0,서울특별시 서초구,02-3415-6870,09:00~22:00,,37.4859248,127.016545,2018-07-11
개방화장실,대성빌딩,서울특별시 서초구 서초대로52길 28,서울특별시 서초구 서초1동 1657-7,N,8,6,0,0,0,0,8,0,0,서울특별시 서초구,,06:30~22:30,,37.4924729,127.0122421,2018-07-11
개방화장실,서초지웰타워,서울특별시 서초구 서초대로 356,서울특별시 서초구 서초1동 1678-4,N,2,1,0,0,0,0,2,0,0,서울특별시 서초구,,06:00~24:00,,37.4953793,127.0180403,2018-07-11
개방화장실,두산베어스타워빌딩,서울특별시 서초구 강남대로 381,서울특별시 서초구 서초2동 1319-11,N,1,3,0,0,0,0,2,0,0,서울특별시 서초구,02-598-0701,연중무휴,,37.4966501,127.0254979,2018-07-11
개방화장실,강남빌딩,서울특별시 서초구 서초대로 396,서울특별시 서초구 서초2동 1321-1,N,2,3,0,0,0,0,2,0,0,서울특별시 서초구,,연중무휴,,37.4965304,127.0225693,2018-07-11
개방화장실,플래타넘타워,서울특별시 서초구 서초대로 398,서울특별시 서초구 서초2동 1321-11,N,3,4,0,0,0,0,3,0,0,서울특별시 서초구,,연중무휴,,37.496599,127.0229031,2018-07-11
개방화장실,도시의빛2,서울특별시 서초구 강남대로 359,서울특별시 서초구 서초2동 1328-11,N,2,2,0,0,0,0,2,0,0,서울특별시 서초구,02-581-9992,연중무휴,,37.494759,127.0264056,2018-07-11
개방화장실,현대렉시온,서울특별시 서초구 강남대로 305,서울특별시 서초구 서초2동 1338-20,N,2,4,0,0,0,0,2,0,0,서울특별시 서초구,02-2182-5111,연중무휴,,37.489964,127.0284172,2018-07-11
개방화장실,코리아비지니스센타,서울특별시 서초구 강남대로 309,서울특별시 서초구 서초2동 1338-21,N,2,2,1,1,0,0,2,1,0,서울특별시 서초구,02-581-1512,연중무휴,,37.4904776,127.0282025,2018-07-11
개방화장실,서초이즈타워,서울특별시 서초구 사임당로178,서울특별시 서초구 서초2동1337-15,N,2,3,0,0,0,0,2,0,0,서울특별시 서초구,,연중무휴,,37.4921947,127.0268538,2018-07-11
개방화장실,맥도날드,서울특별시 서초구 반포대로 69,서울특별시 서초구 서초3동 1536-15,N,2,2,0,0,0,0,2,0,0,서울특별시 서초구,070-7017-2404,연중무휴,,37.4864212,127.0076799,2018-07-11
개방화장실,신영빌딩,서울특별시 서초구 사임당로 26,서울특별시 서초구 서초3동 1597-1,N,1,2,0,0,0,0,2,0,0,서울특별시 서초구,02-581-6665,07:00~24:00,,37.4876057,127.0107806,2018-07-11
개방화장실,서초르네상스오피스텔,서울특별시 서초구 서초중앙로 69,서울특별시 서초구 서초3동 1598-3,N,1,2,0,0,0,0,2,0,0,서울특별시 서초구,02-582-4613,06:00~24:00,,37.4878098,127.0121088,2018-07-11
